time,open,high,low,close,Factor 1,High band,Low band,High band 2,Low band 2,High band 2,Low band 2,Line 1,Line 2,,Plot,Plot,Plot,Plot,Plot,Plot
2009-02-26,11.45,12.06,10.3,10.389,35.865294968482466,48.2055041706772,23.52508576628773,NaN,NaN,NaN,NaN,31.31270084475944,41.650160936981386,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-03-03,10.39,10.44,9.75,9.92,36.15028198135081,48.47704269278048,23.823521269921137,NaN,NaN,NaN,NaN,29.427251203998008,41.8745008010572,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-03-06,9.74,10.28,8.84,10.115,36.471325754122915,48.763515941515465,24.179135566730366,NaN,NaN,NaN,NaN,28.657861036115982,42.17024143486933,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-03-11,10.23,11.47,10.07,11.079,37.02876681215833,49.083975023168115,24.973558601148547,NaN,NaN,NaN,NaN,29.701708309736638,42.673449043936195,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-03-16,11.45,12.04,11.28,11.707,37.649321460994756,49.45048543306143,25.848157488928084,NaN,NaN,NaN,NaN,31.674868720466236,43.352768199497646,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-03-19,12.04,13.17,11.92,13.132,38.48793459743968,49.61208881589505,27.363780378984316,NaN,NaN,NaN,NaN,35.84809761365808,44.26820494728042,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-03-24,13.78,13.9,12.58,13.07,39.0664033550708,50.29574900838648,27.837057701755114,NaN,NaN,NaN,NaN,40.225486463247954,45.31809407412244,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-03-27,13.14,13.29,11.95,12.362,39.36109793902942,50.61944495185516,28.102750926203683,NaN,NaN,NaN,NaN,43.52278489271136,46.05098037545019,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-04-01,12.54,14.74,12.35,14.334,40.02081627852597,51.94127577744773,28.100356779604212,NaN,NaN,NaN,NaN,47.463160267273835,47.32891130253564,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-04-06,14.7,14.85,13.46,14.034,40.77930720025321,52.75388771023965,28.80472669026676,NaN,NaN,NaN,NaN,50.17311652476459,48.8329362359439,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-04-09,13.76,16.049999,13.76,15.472,41.766217035686964,54.17628203144042,29.3561520399335,NaN,NaN,NaN,NaN,52.43336025119207,50.92028023756504,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-04-16,15.5,16.780001,15.38,15.487,42.84248030527597,55.15262175019901,30.53233886035293,NaN,NaN,NaN,NaN,54.773285445158514,53.337826953783754,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-04-21,15.35,16.040001,14.79,15.898,43.7548866106568,56.6648379872804,30.844935234033194,NaN,NaN,NaN,NaN,58.23791125317096,55.98430689558692,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-04-24,16.07,16.35,15.55,15.616,44.36180053568103,57.222116600178374,31.50148447118368,NaN,NaN,NaN,NaN,59.15744130574045,57.90224584051104,50,NaN,NaN,NaN,NaN,NaN,NaN
2009-04-29,15.92,17.49,15.86,17.278,45.08772398813077,57.9034835842611,32.271964392000434,NaN,NaN,NaN,NaN,61.81619632106121,59.341088409098624,50,NaN,NaN,NaN,NaN,NaN,NaN
